2026-08-05 10:08:31 WARNING  orchestrator: [WARN]      Skipping cleanup for 'lambda' because discovery failed: Service 'lambda' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 INFO     orchestrator: Cleaning up service: rds
2026-08-05 10:08:31 INFO     services.rds: [CLEANUP]   [DRY-RUN] Would delete RDS resource database-1-instance-1
2026-08-05 10:08:31 INFO     services.rds: [CLEANUP]   [DRY-RUN] Would delete RDS resource database-1
2026-08-05 10:08:31 INFO     orchestrator: Cleaning up service: s3
2026-08-05 10:08:31 INFO     services.s3: [CLEANUP]   No S3 buckets to delete
2026-08-05 10:08:31 INFO     services.ec2: [VERIFY]    Verifying EC2 is clean ...
2026-08-05 10:08:31 INFO     services.cloudformation: [VERIFY]    Verifying CloudFormation is clean ...
2026-08-05 10:08:31 INFO     services.ecs: [VERIFY]    Verifying ECS is clean ...
2026-08-05 10:08:31 INFO     services.iam: [VERIFY]    Verifying IAM is clean ...
2026-08-05 10:08:31 INFO     services.eventbridge: [VERIFY]    Verifying EventBridge is clean ...
2026-08-05 10:08:31 INFO     services.rds: [VERIFY]    Verifying RDS is clean ...
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'elb' raised: Service 'elb' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 INFO     services.s3: [VERIFY]    Verifying S3 is clean ...
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'lambda' raised: Service 'lambda' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'application_autoscaling' raised: Service 'application_autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'elasticbeanstalk' raised: Service 'elasticbeanstalk' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'autoscaling' raised: Service 'autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'kms' raised: Service 'kms' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'apigateway' raised: Service 'apigateway' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'eks' raised: Service 'eks' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 ERROR    orchestrator: [ERROR]     Verification for 'ecr' raised: Service 'ecr' is a placeholder and has not been implemented yet.
2026-08-05 10:08:31 INFO     services.cloudformation: [VERIFY]    CloudFormation clean
2026-08-05 10:08:31 INFO     services.s3: [VERIFY]    S3 clean
2026-08-05 10:08:31 INFO     services.ecs: [VERIFY]    ECS clean
2026-08-05 10:08:31 INFO     services.rds: [VERIFY]    RDS FAIL - 2 resources remain
2026-08-05 10:08:31 INFO     services.eventbridge: [VERIFY]    EventBridge clean
2026-08-05 10:08:32 INFO     services.ec2: [VERIFY]    EC2 clean
2026-08-05 10:08:33 INFO     services.iam: [VERIFY]    IAM FAIL - 3 resources remain
2026-08-05 10:08:33 INFO     orchestrator: [VERIFY]    Verification pass 1/5 found remaining resources in ['elb', 'lambda', 'application_autoscaling', 'elasticbeanstalk', 'autoscaling', 'kms', 'apigateway', 'eks', 'ecr', 'rds', 'iam']; retrying in 15s
2026-08-05 10:08:48 INFO     services.ec2: [VERIFY]    Verifying EC2 is clean ...
2026-08-05 10:08:48 INFO     services.cloudformation: [VERIFY]    Verifying CloudFormation is clean ...
2026-08-05 10:08:48 INFO     services.ecs: [VERIFY]    Verifying ECS is clean ...
2026-08-05 10:08:48 INFO     services.eventbridge: [VERIFY]    Verifying EventBridge is clean ...
2026-08-05 10:08:48 INFO     services.iam: [VERIFY]    Verifying IAM is clean ...
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'autoscaling' raised: Service 'autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 INFO     services.rds: [VERIFY]    Verifying RDS is clean ...
2026-08-05 10:08:48 INFO     services.s3: [VERIFY]    Verifying S3 is clean ...
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'elb' raised: Service 'elb' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'application_autoscaling' raised: Service 'application_autoscaling' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'lambda' raised: Service 'lambda' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'eks' raised: Service 'eks' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'ecr' raised: Service 'ecr' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'elasticbeanstalk' raised: Service 'elasticbeanstalk' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'apigateway' raised: Service 'apigateway' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 ERROR    orchestrator: [ERROR]     Verification for 'kms' raised: Service 'kms' is a placeholder and has not been implemented yet.
2026-08-05 10:08:48 INFO     services.rds: [VERIFY]    RDS FAIL - 2 resources remain
2026-08-05 10:08:49 INFO     services.cloudformation: [VERIFY]    CloudFormation clean
2026-08-05 10:08:49 INFO     services.s3: [VERIFY]    S3 clean
